id,uuid,observed_on,user_id,quality_grade,license,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,species_guess
623124,4487c5a6-6e00-42e2-93af-bbcaa40a6e9d,4/13/2014,14216,research,CC-BY-NC,http://www.inaturalist.org/observations/623124,https://static.inaturalist.org/photos/783698/medium.jpg,,A dehydrated specimen found near the pond. The park naturalist had caught numerous live adults three weeks earlier.,1,0,"Kendrick Woods, 971 N Defiance Trail, Spencerville, OH",40.750376,-84.320938,188,188,,,FALSE,salamandre à nez court
632044,dcb9faa3-2a33-465d-98ad-e4e589230398,4/18/2014,2098,research,,http://www.inaturalist.org/observations/632044,https://static.inaturalist.org/photos/795518/medium.jpg,,,1,0,"76629, Bremond, TX, US",31.01938333,-96.77183667,,,,,FALSE,Small-mouthed Salamander
650661,af207710-fe89-4cf8-b717-cfc2564551ae,4/30/2014,10766,research,,http://www.inaturalist.org/observations/650661,https://static.inaturalist.org/photos/820507/medium.jpg,,,1,0,"77837, Calvert, Texas, US",30.98566667,-96.7385,30,30,,,FALSE,Small-mouthed Salamander
670320,12dfeca9-79fb-4dbe-9c8d-7d67149f0d2f,5/9/2014,10766,research,,http://www.inaturalist.org/observations/670320,https://static.inaturalist.org/photos/844459/medium.jpg,,,1,0,"FM 149 E, Richards, Texas, US",30.54283333,-95.8345,30,30,,,FALSE,Small-mouthed Salamander
676021,5130cde5-ee44-4d15-b41b-c6a57ab2d59d,5/13/2014,18730,research,CC-BY-NC,http://www.inaturalist.org/observations/676021,https://inaturalist-open-data.s3.amazonaws.com/photos/851605/medium.jpg,,,1,0,"Lake Livingston, Pointblank, TX, US",30.74537167,-95.19103833,,,,,FALSE,Ambystoma texanum
694401,f96dc23c-ce6a-4232-91d3-8d687070adf9,2/24/2014,39170,research,CC-BY-NC,http://www.inaturalist.org/observations/694401,https://inaturalist-open-data.s3.amazonaws.com/photos/871639/medium.JPG,,Found under a piece of tin during a week of periodic light rains.,2,0,"Texas, US",32.61637542,-97.0305814,1492,29066,obscured,,TRUE,Small-mouthed Salamander
812509,0ef7c38f-1e0c-4344-ae55-371018d146ba,8/1/2014,13156,research,CC-BY-NC,http://www.inaturalist.org/observations/812509,https://inaturalist-open-data.s3.amazonaws.com/photos/1024565/medium.jpg,,"Under rotting log within dried out, read not moist, depression within the Ottine Swamp of Palmetto State Park. StateStatPaThpersonalobservaobservation in the park I ",2,0,"Palmetto State Park, Gonzales, TX, US",29.58590833,-97.58409167,,,,,FALSE,Small-mouthed Salamander
1021366,b0ebbca6-1165-4024-8055-aaa251fd9abf,2/6/2014,14327,research,CC-BY-NC,http://www.inaturalist.org/observations/1021366,https://inaturalist-open-data.s3.amazonaws.com/photos/1280099/medium.jpg,,,3,0,"Harris County, US-TX, US",29.778242,-94.933789,28,28,,,FALSE,Small-mouthed Salamander
1021371,1d2bd1fa-4e20-40a7-8a64-6c34aa6393a4,1/14/2014,14327,research,CC-BY-NC,http://www.inaturalist.org/observations/1021371,https://inaturalist-open-data.s3.amazonaws.com/photos/1280106/medium.jpg,,,2,0,"Liberty County, US-TX, US",30.349332,-94.772653,28,28,,,FALSE,Small-mouthed Salamander
1021432,fce43c51-c724-4276-a4f9-40c8b32ac378,2/19/2011,14327,research,CC-BY-NC,http://www.inaturalist.org/observations/1021432,https://inaturalist-open-data.s3.amazonaws.com/photos/1280182/medium.jpg,,Prior to site being cleared it contained a robust A. texanum population.,3,0,"Fort Bend County, US-TX, US",29.567556,-95.672904,57,57,,,FALSE,Small-mouthed Salamander
1021444,5781fb60-6013-4198-82e2-5e6a705bd318,2/19/2012,14327,research,CC-BY-NC,http://www.inaturalist.org/observations/1021444,https://inaturalist-open-data.s3.amazonaws.com/photos/1280199/medium.jpg,,Location approximate. AOR,4,0,"Victoria County, US-TX, US",29.01368,-97.034297,232,232,,,FALSE,Small-mouthed Salamander
1027418,af7905fa-eeed-4e35-8a37-f2417281fe7d,10/19/2014,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/1027418,https://static.inaturalist.org/photos/1288263/medium.JPG,Cache River,,2,0,"Big Cpress Access, Cache River State Natural Area, Pulaski county, Illinois, U.S.A.",37.313076,-88.983829,105,105,,,FALSE,smallmouth salamander
